backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gda,2,16,2,2,0,46.2,164.19,157.09,171.58,ep2/channels16_repeat2.log
rc_gda,2,16,2,3,0,46.18,164.27,157.09,171.49,ep2/channels16_repeat2.log
rc_gda,2,32,0,0,0,46.2,164.19,157.6,169.89,ep2/channels32_repeat0.log
rc_gda,2,32,0,1,0,46.18,164.26,157.5,171.97,ep2/channels32_repeat0.log
rc_gda,2,32,0,2,0,46.21,164.16,157.63,169.86,ep2/channels32_repeat0.log
rc_gda,2,32,0,3,0,46.47,163.24,154.69,171.14,ep2/channels32_repeat0.log
rc_gda,2,32,1,0,0,46.3,163.83,157.31,173.66,ep2/channels32_repeat1.log
rc_gda,2,32,1,1,0,46.31,163.81,158.27,169.28,ep2/channels32_repeat1.log
rc_gda,2,32,1,2,0,46.35,163.68,156.96,169.63,ep2/channels32_repeat1.log
rc_gda,2,32,1,3,0,46.42,163.42,156.42,173.02,ep2/channels32_repeat1.log
rc_gda,2,32,2,0,0,46.3,163.85,156.86,169.15,ep2/channels32_repeat2.log
rc_gda,2,32,2,1,0,46.1,164.55,156.54,171.94,ep2/channels32_repeat2.log
rc_gda,2,32,2,2,0,46.33,163.73,156.51,173.09,ep2/channels32_repeat2.log
rc_gda,2,32,2,3,0,46.07,164.65,157.57,171.94,ep2/channels32_repeat2.log
rc_gda,4,1,0,0,0,40.64,186.67,179.81,195.87,ep4/channels1_repeat0.log
rc_gda,4,1,0,1,0,40.55,187.07,180.1,194.43,ep4/channels1_repeat0.log
rc_gda,4,1,0,2,0,40.68,186.46,177.54,193.92,ep4/channels1_repeat0.log
rc_gda,4,1,0,3,0,40.72,186.29,177.28,195.49,ep4/channels1_repeat0.log
rc_gda,4,1,1,0,0,40.6,186.83,182.05,192.35,ep4/channels1_repeat1.log
rc_gda,4,1,1,1,0,40.65,186.6,179.58,195.94,ep4/channels1_repeat1.log
rc_gda,4,1,1,2,0,40.72,186.31,175.81,195.3,ep4/channels1_repeat1.log
rc_gda,4,1,1,3,0,40.68,186.45,176.58,193.95,ep4/channels1_repeat1.log
rc_gda,4,1,2,0,0,40.6,186.83,180.1,196.48,ep4/channels1_repeat2.log
rc_gda,4,1,2,1,0,40.73,186.25,177.6,195.94,ep4/channels1_repeat2.log
rc_gda,4,1,2,2,0,40.72,186.3,177.57,192.93,ep4/channels1_repeat2.log
rc_gda,4,1,2,3,0,40.79,185.98,179.04,193.54,ep4/channels1_repeat2.log
rc_gda,4,2,0,0,0,50.9,149.04,142.43,156.77,ep4/channels2_repeat0.log
rc_gda,4,2,0,1,0,50.67,149.7,142.98,159.36,ep4/channels2_repeat0.log
rc_gda,4,2,0,2,0,50.88,149.1,142.11,156.77,ep4/channels2_repeat0.log
rc_gda,4,2,0,3,0,50.75,149.49,140.74,157.12,ep4/channels2_repeat0.log
rc_gda,4,2,1,0,0,50.86,149.17,142.75,159.14,ep4/channels2_repeat1.log
rc_gda,4,2,1,1,0,50.83,149.23,142.56,159.3,ep4/channels2_repeat1.log
