backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gdp,2,1,0,0,0,20.34,372.86,364.38,379.78,ep2/channels1_repeat0.log
rc_gdp,2,1,0,1,0,20.35,372.73,366.5,378.82,ep2/channels1_repeat0.log
rc_gdp,2,1,0,2,0,20.37,372.35,365.95,380.35,ep2/channels1_repeat0.log
rc_gdp,2,1,0,3,0,20.37,372.31,366.02,380.06,ep2/channels1_repeat0.log
rc_gdp,2,1,1,0,0,20.34,372.93,350.11,391.07,ep2/channels1_repeat1.log
rc_gdp,2,1,1,1,0,20.34,372.94,348.06,395.14,ep2/channels1_repeat1.log
rc_gdp,2,1,1,2,0,20.37,372.42,349.6,392.58,ep2/channels1_repeat1.log
rc_gdp,2,1,1,3,0,20.36,372.55,351.65,382.34,ep2/channels1_repeat1.log
rc_gdp,2,1,2,0,0,20.38,372.31,364.19,378.53,ep2/channels1_repeat2.log
rc_gdp,2,1,2,1,0,20.35,372.68,364.42,378.75,ep2/channels1_repeat2.log
rc_gdp,2,1,2,2,0,20.38,372.13,364.96,376.22,ep2/channels1_repeat2.log
rc_gdp,2,1,2,3,0,20.39,372.1,359.84,379.33,ep2/channels1_repeat2.log
rc_gdp,2,2,0,0,0,35.55,213.39,208.74,219.01,ep2/channels2_repeat0.log
rc_gdp,2,2,0,1,0,35.54,213.43,208.74,219.04,ep2/channels2_repeat0.log
rc_gdp,2,2,0,2,0,35.63,212.88,208.32,216.8,ep2/channels2_repeat0.log
rc_gdp,2,2,0,3,0,35.64,212.86,206.46,220.38,ep2/channels2_repeat0.log
rc_gdp,2,2,1,0,0,35.61,213.04,208.74,221.06,ep2/channels2_repeat1.log
rc_gdp,2,2,1,1,0,35.6,213.07,207.74,221.06,ep2/channels2_repeat1.log
rc_gdp,2,2,1,2,0,35.69,212.57,208.29,217.5,ep2/channels2_repeat1.log
rc_gdp,2,2,1,3,0,35.69,212.53,208.29,218.34,ep2/channels2_repeat1.log
rc_gdp,2,2,2,0,0,35.66,212.72,206.75,221.09,ep2/channels2_repeat2.log
rc_gdp,2,2,2,1,0,35.65,212.77,206.75,219.01,ep2/channels2_repeat2.log
rc_gdp,2,2,2,2,0,35.75,212.21,206.02,218.5,ep2/channels2_repeat2.log
rc_gdp,2,2,2,3,0,35.73,212.33,208.29,218.53,ep2/channels2_repeat2.log
rc_gdp,2,4,0,0,0,35.69,212.55,206.72,219.04,ep2/channels4_repeat0.log
