backend,experts_per_rank,channels,repeat,rank,returncode,dispatch_bandwidth_gbps,avg_us,min_us,max_us,log_file
rc_gdp,8,16,0,1,0,47.78,158.77,130.5,233.6,ep8_channels16_repeat0.log
rc_gdp,8,16,0,2,0,47.8,158.69,130.21,242.53,ep8_channels16_repeat0.log
rc_gdp,8,16,0,3,0,47.77,158.79,128.13,235.33,ep8_channels16_repeat0.log
rc_gdp,8,32,0,0,0,50.46,150.34,133.34,206.4,ep8_channels32_repeat0.log
rc_gdp,8,32,0,1,0,50.24,150.99,132.99,202.66,ep8_channels32_repeat0.log
rc_gdp,8,32,0,2,0,50.59,149.96,133.54,190.05,ep8_channels32_repeat0.log
rc_gdp,8,32,0,3,0,50.22,151.05,137.15,204.7,ep8_channels32_repeat0.log
rc_gdp,16,1,0,0,0,19.31,392.89,363.81,457.31,ep16_channels1_repeat0.log
rc_gdp,16,1,0,1,0,19.21,394.87,357.47,468.38,ep16_channels1_repeat0.log
rc_gdp,16,1,0,2,0,19.21,394.86,363.97,470.43,ep16_channels1_repeat0.log
rc_gdp,16,1,0,3,0,19.24,394.28,367.36,463.74,ep16_channels1_repeat0.log
rc_gdp,16,2,0,0,0,32.01,237.02,197.57,326.53,ep16_channels2_repeat0.log
rc_gdp,16,2,0,1,0,32.16,235.86,202.11,347.33,ep16_channels2_repeat0.log
rc_gdp,16,2,0,2,0,32.09,236.42,206.24,401.02,ep16_channels2_repeat0.log
rc_gdp,16,2,0,3,0,32.17,235.83,205.92,350.34,ep16_channels2_repeat0.log
rc_gdp,16,4,0,0,0,42.13,180.05,134.75,262.75,ep16_channels4_repeat0.log
rc_gdp,16,4,0,1,0,42.23,179.65,132.99,259.97,ep16_channels4_repeat0.log
rc_gdp,16,4,0,2,0,42.46,178.67,138.53,252.51,ep16_channels4_repeat0.log
rc_gdp,16,4,0,3,0,42.3,179.33,146.91,254.34,ep16_channels4_repeat0.log
rc_gdp,16,8,0,0,0,46.44,163.34,132.48,251.3,ep16_channels8_repeat0.log
rc_gdp,16,8,0,1,0,46.31,163.82,124.26,265.82,ep16_channels8_repeat0.log
rc_gdp,16,8,0,2,0,46.37,163.58,124.54,261.73,ep16_channels8_repeat0.log
rc_gdp,16,8,0,3,0,46.49,163.17,124.35,255.42,ep16_channels8_repeat0.log
rc_gdp,16,16,0,0,0,47.54,159.55,120.74,245.63,ep16_channels16_repeat0.log
rc_gdp,16,16,0,1,0,47.91,158.34,127.52,259.2,ep16_channels16_repeat0.log
rc_gdp,16,16,0,2,0,47.78,158.77,116.06,259.49,ep16_channels16_repeat0.log
rc_gdp,16,16,0,3,0,47.69,159.06,130.56,259.46,ep16_channels16_repeat0.log
rc_gdp,16,32,0,0,0,49.26,154.01,130.11,197.82,ep16_channels32_repeat0.log
rc_gdp,16,32,0,1,0,49.05,154.66,122.43,216.48,ep16_channels32_repeat0.log
rc_gdp,16,32,0,2,0,49.23,154.09,116.29,224.83,ep16_channels32_repeat0.log
rc_gdp,16,32,0,3,0,49.05,154.65,132.54,195.17,ep16_channels32_repeat0.log
rc_gdp,32,1,0,0,0,17.23,440.37,394.34,594.82,ep32_channels1_repeat0.log
rc_gdp,32,1,0,1,0,17.22,440.64,362.37,608.13,ep32_channels1_repeat0.log
rc_gdp,32,1,0,2,0,17.22,440.49,371.04,646.59,ep32_channels1_repeat0.log
rc_gdp,32,1,0,3,0,17.22,440.6,384.38,601.54,ep32_channels1_repeat0.log
rc_gdp,32,2,0,0,0,31.11,243.81,219.94,265.15,ep32_channels2_repeat0.log
rc_gdp,32,2,0,1,0,31.1,243.9,196.51,290.69,ep32_channels2_repeat0.log
rc_gdp,32,2,0,2,0,30.99,244.79,195.33,289.89,ep32_channels2_repeat0.log
rc_gdp,32,2,0,3,0,31.06,244.22,204.16,277.95,ep32_channels2_repeat0.log
rc_gdp,32,4,0,0,0,40.13,189.03,134.66,291.36,ep32_channels4_repeat0.log
rc_gdp,32,4,0,1,0,40.03,189.48,136.1,250.98,ep32_channels4_repeat0.log
rc_gdp,32,4,0,2,0,40.08,189.28,136.86,299.71,ep32_channels4_repeat0.log
rc_gdp,32,4,0,3,0,39.86,190.31,134.43,271.84,ep32_channels4_repeat0.log
rc_gdp,32,8,0,0,0,42.76,177.39,116.06,243.14,ep32_channels8_repeat0.log
rc_gdp,32,8,0,1,0,42.63,177.96,126.82,235.36,ep32_channels8_repeat0.log
rc_gdp,32,8,0,2,0,42.68,177.75,126.3,255.65,ep32_channels8_repeat0.log
rc_gdp,32,8,0,3,0,42.78,177.31,126.37,259.49,ep32_channels8_repeat0.log
rc_gdp,32,16,0,0,0,44.33,171.14,111.87,243.07,ep32_channels16_repeat0.log
rc_gdp,32,16,0,1,0,44.28,171.32,124.8,219.04,ep32_channels16_repeat0.log
rc_gdp,32,16,0,2,0,44.33,171.14,111.97,245.18,ep32_channels16_repeat0.log
rc_gdp,32,16,0,3,0,44.28,171.32,136.54,224.67,ep32_channels16_repeat0.log
rc_gdp,32,32,0,0,0,42.46,178.66,113.63,295.04,ep32_channels32_repeat0.log
rc_gdp,32,32,0,1,0,42.2,179.77,128.9,286.62,ep32_channels32_repeat0.log
rc_gdp,32,32,0,2,0,42.35,179.14,132.96,281.73,ep32_channels32_repeat0.log
rc_gdp,32,32,0,3,0,42.44,178.76,105.15,333.06,ep32_channels32_repeat0.log
rc_gdp,64,1,0,0,0,14.42,526.0,423.01,789.6,ep64_channels1_repeat0.log
rc_gdp,64,1,0,1,0,14.41,526.44,432.0,736.16,ep64_channels1_repeat0.log
rc_gdp,64,1,0,2,0,14.42,526.1,427.42,699.81,ep64_channels1_repeat0.log
rc_gdp,64,1,0,3,0,14.41,526.52,425.38,710.05,ep64_channels1_repeat0.log
rc_gdp,64,2,0,0,0,26.43,287.05,232.29,331.65,ep64_channels2_repeat0.log
rc_gdp,64,2,0,1,0,26.44,286.92,216.9,365.44,ep64_channels2_repeat0.log
rc_gdp,64,2,0,2,0,26.51,286.18,208.42,358.11,ep64_channels2_repeat0.log
rc_gdp,64,2,0,3,0,26.34,287.94,212.22,365.98,ep64_channels2_repeat0.log
rc_gdp,64,4,0,0,0,32.46,233.71,155.26,308.86,ep64_channels4_repeat0.log
rc_gdp,64,4,0,1,0,32.64,232.4,181.15,291.58,ep64_channels4_repeat0.log
rc_gdp,64,4,0,2,0,32.7,231.96,155.01,311.36,ep64_channels4_repeat0.log
rc_gdp,64,4,0,3,0,32.41,234.09,159.07,308.7,ep64_channels4_repeat0.log
rc_gdp,64,8,0,0,0,36.16,209.81,120.26,312.83,ep64_channels8_repeat0.log
rc_gdp,64,8,0,1,0,35.85,211.62,128.83,303.01,ep64_channels8_repeat0.log
rc_gdp,64,8,0,2,0,35.75,212.21,126.21,298.37,ep64_channels8_repeat0.log
rc_gdp,64,8,0,3,0,35.98,210.85,130.46,290.21,ep64_channels8_repeat0.log
rc_gdp,64,16,0,0,0,36.62,207.13,132.61,300.22,ep64_channels16_repeat0.log
rc_gdp,64,16,0,1,0,36.9,205.57,118.27,355.9,ep64_channels16_repeat0.log
rc_gdp,64,16,0,2,0,36.6,207.25,117.95,298.4,ep64_channels16_repeat0.log
rc_gdp,64,16,0,3,0,36.54,207.58,128.16,277.22,ep64_channels16_repeat0.log
rc_gdp,64,32,0,0,0,36.2,209.56,133.66,339.14,ep64_channels32_repeat0.log
rc_gdp,64,32,0,1,0,35.96,210.95,58.85,389.73,ep64_channels32_repeat0.log
rc_gdp,64,32,0,2,0,36.14,209.91,89.5,379.97,ep64_channels32_repeat0.log
rc_gdp,64,32,0,3,0,35.94,211.04,115.9,323.33,ep64_channels32_repeat0.log
